sample,r,likelihood,mean,low,high
unconflicted,0.5,0.50029696029607,0.02001386956349975,1.8025430815464452e-10,0.05979065916795814
unconflicted,0.5,0.5127860407355628,0.02046433692356881,2.9980793977462745e-10,0.060251781109460105
unconflicted,0.5,0.5252751211750557,0.020924726805766566,4.986597282914113e-10,0.06076952603848588
unconflicted,0.5,0.5377642016145486,0.02139524793187304,8.294099569315233e-10,0.060763902895493244
unconflicted,0.5,0.5502532820540414,0.021876112966841603,1.3795519883447177e-09,0.0611679037337617
unconflicted,0.5,0.5627423624935344,0.022367538572695453,2.2946205268474664e-09,0.06110961243504422
unconflicted,0.5,0.5752314429330273,0.022869745462152112,3.81669761372814e-09,0.06168406705387374
unconflicted,0.5,0.5877205233725201,0.023382958451912284,6.348466194190552e-09,0.062005939909491735
unconflicted,0.5,0.600209603812013,0.023907406515546133,1.0559762560790731e-08,0.062419640391716255
unconflicted,0.5,0.612698684251506,0.02444332283590669,1.7564827379967e-08,0.06293620934089524
unconflicted,0.5,0.6251877646909988,0.024990944856996256,2.9217168148647086e-08,0.06332086184169299
unconflicted,0.5,0.6376768451304917,0.025550514335208534,4.8600078037279915e-08,0.06397517490434362
unconflicted,0.5,0.6501659255699846,0.026122277389864876,8.084264972245881e-08,0.06442914901041971
unconflicted,0.5,0.6626550060094776,0.02670648455295965,1.3085509622793749e-07,0.06490096284428727
unconflicted,0.5,0.6751440864489704,0.027303390818025273,2.0952098606433442e-07,0.06535472410141911
unconflicted,0.5,0.6876331668884633,0.02791325568802377,3.3550488243712515e-07,0.06582847166264177
unconflicted,0.5,0.7001222473279562,0.028536343222167092,5.372875503748368e-07,0.06635550757029741
unconflicted,0.5,0.7126113277674491,0.029172922081564294,8.605054898978622e-07,0.06730656050042837
unconflicted,0.5,0.725100408206942,0.029823265573589098,1.378294093904987e-06,0.06790996688374269
unconflicted,0.5,0.7375894886464349,0.030487651694856847,2.344307109381019e-06,0.06776029014156798
unconflicted,0.5,0.7500785690859277,0.03116636317269503,3.993276083705789e-06,0.0693606725855733
unconflicted,0.5,0.7625676495254207,0.03185968750498691,6.811941338421962e-06,0.07018265104266823
unconflicted,0.5,0.7750567299649136,0.03256791699826249,1.16292524088126e-05,0.07140760088357395
unconflicted,0.5,0.7875458104044065,0.03329134880390643,1.9853735646283545e-05,0.07193481045518557
unconflicted,0.5,0.8000348908438993,0.034030284952347216,3.3895459630206915e-05,0.07324765975671668
unconflicted,0.5,0.8125239712833923,0.03478503238508641,5.8207128510847655e-05,0.07412949352839285
unconflicted,0.5,0.8250130517228852,0.03555590298442165,0.00010051155271869191,0.07551469309940508
unconflicted,0.5,0.837502132162378,0.03634321360071169,0.00016693082308882632,0.07638667548437059
unconflicted,0.5,0.8499912126018709,0.03714728607702594,0.00027701393432437145,0.07695009848223325
unconflicted,0.5,0.8624802930413639,0.037968447271015775,0.00043708834260790025,0.07955331348950954
unconflicted,0.5,0.8749693734808568,0.03880702907383835,0.0007111760902037309,0.08098859423761588
unconflicted,0.5,0.8874584539203496,0.0396633684259592,0.0008618612814414473,0.08188393745653608
unconflicted,0.5,0.8999475343598425,0.0405378073296525,0.0012319681976370206,0.08459217429623311
unconflicted,0.5,0.9124366147993355,0.04143069285801335,0.001886214905595792,0.08644100286979459
unconflicted,0.5,0.9249256952388283,0.042342377160289484,0.0023034578061636355,0.08868965505768767
unconflicted,0.5,0.9374147756783212,0.04327321746333465,0.003426779946680891,0.0922631203279333
unconflicted,0.5,0.9499038561178141,0.04422357606897911,0.00423256447127948,0.09550866357688924
unconflicted,0.5,0.962392936557307,0.04519382034710753,0.005032608436976539,0.09963374508759133
unconflicted,0.5,0.9748820169967999,0.04618432272422787,0.005897022694987662,0.10842848199048397
unconflicted,0.5,0.9873710974362928,0.04719546066730937,0.0060467042129211885,0.12036550007738256
unconflicted,0.5,0.9998601778757856,0.04822761666266141,0.006397603908169902,0.15002681784425806
unconflicted,1.0,0.0109869424231338,0.871127758120817,0.0021844927578538622,0.953912623633426
unconflicted,1.0,0.023505647503211657,0.8712306782577215,0.0024386171172532944,0.9531782833107367
unconflicted,1.0,0.03602435258328951,0.8713335283405695,0.0027220766378801184,0.9524279754456707
unconflicted,1.0,0.04854305766336737,0.8714363083976556,0.003028229256616716,0.951665566220942
unconflicted,1.0,0.06106176274344522,0.8715390184572948,0.003368698806506099,0.9508915625071758
unconflicted,1.0,0.07358046782352308,0.8716416585478219,0.0037473043151510232,0.9501058082493672
unconflicted,1.0,0.08609917290360095,0.8717442286975924,0.004169860195475847,0.9493081459489839
unconflicted,1.0,0.0986178779836788,0.8718467289349818,0.004644677351624424,0.9485997862177935
unconflicted,1.0,0.11113658306375665,0.8719491592883857,0.005155646076468883,0.9479667714822632
unconflicted,1.0,0.1236552881438345,0.8720515197862198,0.0057163706839855714,0.9473263913830203
unconflicted,1.0,0.13617399322391235,0.8721538104569194,0.006331086897416016,0.9466772863795117
unconflicted,1.0,0.1486926983039902,0.8722560313289403,0.007012464652490906,0.9460187929243016
unconflicted,1.0,0.16121140338406809,0.8723581824307575,0.00776921703723974,0.9453526193764387
unconflicted,1.0,0.17373010846414594,0.8724602637908663,0.008606936040464152,0.9446786876268282
unconflicted,1.0,0.1862488135442238,0.8725622754377814,0.009534124819832013,0.9439969190631188
unconflicted,1.0,0.19876751862430164,0.8726642174000376,0.010560143239629892,0.9431604724160046
unconflicted,1.0,0.2112862237043795,0.8727660897061886,0.011695285926989598,0.9426203473936676
unconflicted,1.0,0.22380492878445735,0.8728678923848082,0.012967668504851988,0.9419257657411682
unconflicted,1.0,0.2363236338645352,0.8729696254644894,0.014449490476093028,0.9414128803311896
unconflicted,1.0,0.24884233894461305,0.8730712889738448,0.016097896377340163,0.940759981360121
unconflicted,1.0,0.2613610440246909,0.8731728829415062,0.017930950568532084,0.9399080883282768
unconflicted,1.0,0.27387974910476875,0.8732744073961247,0.019968517183196696,0.939138482721817
unconflicted,1.0,0.2863984541848466,0.8733758623663707,0.022232401093323237,0.9383213392206194
unconflicted,1.0,0.29891715926492446,0.8734772478809337,0.024746490324311327,0.9375608981367678
unconflicted,1.0,0.31143586434500237,0.8735785639685224,0.02753689705937066,0.9373224757059825
unconflicted,1.0,0.3239545694250802,0.8736798106578645,0.030465658469244823,0.9368781806898138
