score,full,x,mean,low,high
p,1,0.2727058695271121,0.3821094432030325,0.18429978835245875,0.6286138081993132
p,1,0.2791992514398101,0.38560646369618046,0.18780465533483834,0.6301130562011882
p,1,0.2856926333525081,0.38911531759698176,0.19135711458407767,0.6316149154778209
p,1,0.29218601526520604,0.39263568000393306,0.19495708116765406,0.6331194647547261
p,1,0.29867939717790404,0.39616722136938726,0.1986044384928662,0.6346267854926672
p,1,0.305172779090602,0.3997096076103366,0.2022990374549106,0.636136961969219
p,1,0.31166616100329997,0.403262500222994,0.20604069560214974,0.6376500813623286
p,1,0.3181595429159979,0.4068255564010997,0.20982919632087027,0.6391662338358494
p,1,0.3246529248286959,0.4103984291578788,0.21366428804188542,0.6406855126270143
p,1,0.33114630674139384,0.4139807674515669,0.21754568347136927,0.6422080141358107
p,1,0.33763968865409183,0.41757221631441827,0.22147305884835158,0.6437338380161921
p,1,0.34413307056678977,0.4211724169851039,0.22544605323133235,0.6452630872690595
p,1,0.35062645247948776,0.42478100704440425,0.22946426781649448,0.6467958683369198
p,1,0.3571198343921857,0.4283976205540942,0.23352726529001386,0.6483322912001198
p,1,0.3636132163048837,0.43202188819891535,0.2376345692169786,0.6498724694745198
p,1,0.37010659821758163,0.4356534374315242,0.24178566346942343,0.6514165205104672
p,1,0.3765999801302796,0.4392918926203017,0.24597999169599621,0.6529645654928824
p,1,0.38309336204297756,0.442936875199905,0.25021695683574563,0.6545167295422623
p,1,0.38958674395567555,0.44658800382443786,0.2544959206785144,0.6560731418163674
p,1,0.3960801258683735,0.45024489452311145,0.25881620347439105,0.6576339356123144
p,1,0.4025735077810715,0.4539071608582672,0.26317708359463976,0.6591992484687814
p,1,0.4090668896937694,0.4575744140856228,0.2675777972464898,0.66076922226797
p,1,0.4155602716064674,0.46124626331660723,0.2720175382441188,0.6623440033369377
p,1,0.42205365351916535,0.46492231568264036,0.27649545783811297,0.6639237425478566
p,1,0.42854703543186334,0.46860217650121516,0.28101066460562196,0.6655085954167066
p,1,0.4350404173445613,0.47228544944363277,0.28556222440336854,0.6670987221998469
p,1,0.4415337992572593,0.47597173670424314,0.29014916038559513,0.668694287987854
p,1,0.44802718116995727,0.479660639171038,0.2947704530889628,0.670295462795935
p,1,0.4545205630826552,0.48335175659744123,0.2994250405863272,0.6719024216501575
p,1,0.4610139449953532,0.4870446877751419,0.30411181871124526,0.6735153446686563
p,1,0.46750732690805114,0.4907390307078116,0.30882964135497276,0.6751344171368834
p,1,0.47400070882074913,0.4944343827855466,0.31357732083762674,0.6767598295758834
p,1,0.48049409073344707,0.498130340959875,0.3183536283551041,0.678391777802465
p,1,0.48698747264614506,0.5018265019191687,0.3231572945032489,0.6800304629800435
p,1,0.493480854558843,0.5055224622642943,0.32798700988068397,0.6816760916588007
p,1,0.499974236471541,0.509217818684348,0.3328414257716267,0.6833288758037026
p,1,0.5064676183842389,0.5129121681323047,0.33771915490993215,0.6849890328087714
p,1,0.5129610002969369,0.5166051080004231,0.34261877232551985,0.6866567854958826
p,1,0.5194543822096348,0.5202962362952457,0.3475388162742667,0.6883323620962115
p,1,0.5259477641223328,0.5239851518120294,0.35247778925237533,0.6900159962123071
p,1,0.5324411460350308,0.527671454308449,0.35743415909615506,0.6917079267586148
p,1,0.5389345279477288,0.5313547446774138,0.3624063601680992,0.6934083978781128
p,1,0.5454279098604268,0.5350346251188401,0.3673927946300678,0.695117658832569
p,1,0.5519212917731247,0.538710699310221,0.3723918338043482,0.6968359638637514
p,1,0.5584146736858226,0.5423825725758443,0.37740181962330366,0.6985635720227767
p,1,0.5649080555985206,0.5460498520545009,0.3824210661682784,0.7003007469646015
p,1,0.5714014375112186,0.549712146865538,0.38744786129838277,0.7020477567045227
p,1,0.5778948194239165,0.5533690682731084,0.39248046836972966,0.7038048733333877
p,1,0.5843882013366145,0.5570202298484718,0.3975171280456579,0.7055723726880878
p,1,0.5908815832493125,0.5606652476302063,0.40255606019840584,0.707350533973779
p,1,0.5973749651620105,0.5643037402821939,0.40759546590265083,0.7091396393341741
p,1,0.6038683470747084,0.5679353292492424,0.41263352952124527,0.7109399733661691
p,1,0.6103617289874064,0.571559638910216,0.41766842088338146,0.7127518225750235
p,1,0.6168551109001044,0.5751762967285442,0.42269829755530547,0.7145754747662961
p,1,0.6233484928128024,0.5787849333999879,0.4277213072035386,0.7164112183707866
p,1,0.6298418747255002,0.5823851829975429,0.432735590050392,0.7182593416987981
p,1,0.6363352566381982,0.5859766831133668,0.4377392814213098,0.7201201321202093
p,1,0.6428286385508962,0.5895590749976154,0.44273051438330574,0.7219938751670286
p,1,0.6493220204635942,0.5931320036940883,0.44770742247340556,0.7238808535554235
p,1,0.6558154023762922,0.5966951181725787,0.4526681425155915,0.7257813461245785
p,1,0.6623087842889901,0.6002480714578311,0.45761081752425276,0.72769562669021
p,1,0.6688021662016881,0.6037905207550177,0.4625335996915697,0.7296239628111504
p,1,0.6752955481143861,0.6073221275716453,0.4674346534555793,0.7315666144680892
p,1,0.6817889300270841,0.610842557835812,0.4723121586449079,0.7335238326543664
p,1,0.688282311939782,0.6143514820107369,0.4771643136952684,0.735495857879637
p,1,0.69477569385248,0.6178485752054946,0.4819893389318421,0.7374829185882774
p,1,0.7012690757651779,0.621333517281884,0.48678547991056936,0.7394852294955641
p,1,0.7077624576778759,0.6248059929573757,0.49155101081016933,0.7415029898459702
p,1,0.7142558395905738,0.6282656919040805,0.49628423786541537,0.7435363815993175
p,1,0.7207492215032718,0.6317123088436918,0.5009835028307924,0.7455855675520504
p,1,0.7272426034159698,0.6351455436383525,0.5056471864622009,0.7476506894024937
p,1,0.7337359853286678,0.6385651013774156,0.5102737120028358,0.7497318657706473
p,1,0.7402293672413657,0.6419706924600571,0.5148615486578192,0.75182919018478
p,1,0.7467227491540637,0.6453620326737187,0.5194092150405866,0.7539427290488335
p,1,0.7532161310667617,0.6487388432683544,0.5239152825724978,0.7560725196063636
p,1,0.7597095129794597,0.6521008510264642,0.5283783788156672,0.7582185679184086
p,1,0.7662028948921575,0.6554477883289042,0.5327971907176609,0.7603808468742272
p,1,0.7726962768048555,0.6587793932164635,0.5371704677454947,0.7625592942552609
p,1,0.7791896587175535,0.6620954094472062,0.5414970248853801,0.7647538108738724
p,1,0.7856830406302515,0.6653955865495845,0.5457757454839368,0.7669642588093689
p,1,0.7921764225429494,0.6686796798713259,0.5500055839061397,0.7691904597644679
p,1,0.7986698044556474,0.6719474506241109,0.5541855679852082,0.7714321935656592
p,1,0.8051631863683454,0.6751986659240575,0.5583148012399392,0.7736891968308379
p,1,0.8116565682810434,0.6784330988280338,0.5623924648357339,0.7759611618270551
p,1,0.8181499501937413,0.6816505283658271,0.5664178192667516,0.7782477355402742
p,1,0.8246433321064393,0.6848507395681972,0.5703902057382728,0.7805485189775773
p,1,0.8311367140191372,0.6880335234908536,0.5743090472304755,0.7828630667203784
p,1,0.8376300959318352,0.6911986772343912,0.5781738492273976,0.7851908867448153
p,1,0.8441234778445331,0.6943460039602328,0.5819842000978507,0.7875314405227298
p,1,0.8506168597572311,0.6974753129026201,0.5857397711184258,0.7898841434134455
p,1,0.8571102416699291,0.7005864193767092,0.5894403161324422,0.7922483653530514
p,1,0.8636036235826271,0.7036791447828211,0.593085670842634,0.7946234318441282
p,1,0.8700970054953251,0.7067533166069092,0.596675751739527,0.7970086252448821
p,1,0.876590387408023,0.7098087684172993,0.6002105546716376,0.7994031863526254
p,1,0.883083769320721,0.7128453398577723,0.6036901530678824,0.8018063162724587
p,1,0.889577151233419,0.7158628766370537,0.6071146958266463,0.8042171785580923
p,1,0.896070533146117,0.7188612305147782,0.6104844048898735,0.806634901607956
p,1,0.9025639150588148,0.721840259284007,0.6137995725241586,0.8090585812962865
p,1,0.9090572969715128,0.7247998267503678,0.6170605583340184,0.8114872838157682
p,1,0.9155506788842108,0.7277398027078968,0.6202677860353252,0.813920048705625
p,1,0.9220440607969088,0.7306600629116646,0.6234217400191484,0.816355892036894
p,1,0.9285374427096067,0.7335604890472611,0.6265229617379817,0.8187938097249527
p,1,0.9350308246223047,0.7364409686972309,0.6295720459474872,0.8212327809383053
p,1,0.9415242065350027,0.7393013953045365,0.6325696368374737,0.8236717715721048
p,1,0.9480175884477007,0.7421416681331406,0.6355164240858321,0.8261097377549369
