sample,outcome,controls,term,estimate,low,high,within_r_squared,questions,trajectories,states
no_gold_conflict,p,committed_r+tau+tau2,committed_r,-0.01679118132807361,-0.11872758958564023,0.07610238039608944,0.6144205267720171,64,192,1181
no_gold_conflict,p,committed_r+tau+tau2,tau,2.653960844944612,2.167088942198649,3.1497294889914254,0.6144205267720171,64,192,1181
no_gold_conflict,p,committed_r+tau+tau2,tau2,-1.389711533871119,-1.7066234911496665,-1.0716308570214494,0.6144205267720171,64,192,1181
Run 1,native_s,committed_r+tau,committed_r,2.7289757016924434,1.7633369878955645,3.726157303649271,0.6119874882709353,100,100,694
Run 1,native_s,committed_r+tau,tau,7.372030524882074,5.705996837411588,9.051531616170195,0.6119874882709353,100,100,694
Run 1,native_s,committed_r+tau+tau2,committed_r,3.001751175398984,1.9984980134944925,4.066878139079949,0.6139960786382922,100,100,694
Run 1,native_s,committed_r+tau+tau2,tau,10.01520127712208,6.553819058499449,13.74167495682505,0.6139960786382922,100,100,694
Run 1,native_s,committed_r+tau+tau2,tau2,-2.4579469252540282,-5.30615811029588,0.1334489001272839,0.6139960786382922,100,100,694
Run 1,p,committed_r+tau,committed_r,-0.07492053950514876,-0.18318629165317638,0.03263463796730498,0.4783980858365001,100,100,694
Run 1,p,committed_r+tau,tau,0.9594862056693013,0.7697756087424155,1.1501066779050804,0.4783980858365001,100,100,694
Run 1,p,committed_r+tau+tau2,committed_r,0.045216444351425175,-0.05154827321363311,0.14851725233392726,0.5180097128473187,100,100,694
Run 1,p,committed_r+tau+tau2,tau,2.123603190518334,1.6528409285863972,2.6129420890633974,0.5180097128473187,100,100,694
Run 1,p,committed_r+tau+tau2,tau2,-1.0825398855222566,-1.423626404860802,-0.7675587326977984,0.5180097128473187,100,100,694
Run 2,native_s,committed_r+tau,committed_r,2.389966760016051,1.1558147197961013,3.5142620250231036,0.5783595273320754,100,100,718
Run 2,native_s,committed_r+tau,tau,7.38870047022367,5.459581988152422,9.407240290488451,0.5783595273320754,100,100,718
Run 2,native_s,committed_r+tau+tau2,committed_r,2.400512095704779,1.098587282304321,3.6074588721833547,0.5783641341881455,100,100,718
Run 2,native_s,committed_r+tau+tau2,tau,7.512144538423207,4.1592584567829896,11.011449840004312,0.5783641341881455,100,100,718
Run 2,native_s,committed_r+tau+tau2,tau2,-0.11291297401004595,-2.7729624533305843,2.36167038746361,0.5783641341881455,100,100,718
Run 2,p,committed_r+tau,committed_r,-0.07906172693338527,-0.205286395598242,0.04040898354575375,0.4615948569844449,100,100,718
Run 2,p,committed_r+tau,tau,0.9305570233338818,0.7281400219161402,1.1434938206446628,0.4615948569844449,100,100,718
Run 2,p,committed_r+tau+tau2,committed_r,0.006239283344376971,-0.10399102083522387,0.11783192852245829,0.49221488662514423,100,100,718
Run 2,p,committed_r+tau+tau2,tau,1.9290936314640628,1.4764897061062352,2.40300674282301,0.49221488662514423,100,100,718
Run 2,p,committed_r+tau+tau2,tau2,-0.9133507970560069,-1.2382804692528415,-0.6058420872385536,0.49221488662514423,100,100,718
Run 3,native_s,committed_r+tau,committed_r,2.588520850920236,1.593166129725774,3.5757565012217145,0.5734451163275657,100,100,738
Run 3,native_s,committed_r+tau,tau,6.822593444916644,5.102232089284079,8.594042094652004,0.5734451163275657,100,100,738
Run 3,native_s,committed_r+tau+tau2,committed_r,2.8092653903183464,1.8134406864710904,3.81894383692432,0.5760609015824876,100,100,738
Run 3,native_s,committed_r+tau+tau2,tau,9.666656367907807,6.539801173779989,13.058815105856906,0.5760609015824876,100,100,738
Run 3,native_s,committed_r+tau+tau2,tau2,-2.60834715630208,-5.134286209594494,-0.3039989329377712,0.5760609015824876,100,100,738
Run 3,p,committed_r+tau,committed_r,0.003923270083436322,-0.12858572452003578,0.1388643051046198,0.417896020380343,100,100,738
Run 3,p,committed_r+tau,tau,0.8113924725729197,0.59415243629693,1.034851697571156,0.417896020380343,100,100,738
Run 3,p,committed_r+tau+tau2,committed_r,0.10214429959209649,-0.012187862727754052,0.222840185982144,0.46853813074601225,100,100,738
Run 3,p,committed_r+tau+tau2,tau,2.0768678906524536,1.6209594866009638,2.554199353495197,0.46853813074601225,100,100,738
